group,page,number,title,parts,notes,shelfmark
,,48,Advent Lied v. G. Werner in F. | a Canto Solo. Text: Die Vorhöll etc.,10,,E 48
,,49,Cantilena pro Adv. von G. Werner in B. | a Canto Solo. Text: Gegrüßet ſeyſt etc.,4,,E 49
,,50,Cantilena pro Adv. von G Werner in F. | Text: O Maria ſey gegrüßet etc.,6,,E 50
,67,51,Aria p. Adventu von Gregor Werner in F. | a Alto Solo. Text: Betracht mein Chriſt etc.,4,,E 51
,,52,Ave Maria klare von G. Werner in C.,8,,B 56 (E 52)
,,53,Aria p. Adv.,7,,E 53
,,54,Paſtorella d. Nat. Dom. von G. Werner in C. | Text: Gloria in Exc. Deo. etc.,12,,E 54
,,55,Paſtorella d. Nat. Dom. v G. Werner in C. | Text: Gloria in altiſsimis etc.,8,,E 55
,,56,Aria v. G. Werner in F. | De immaculata Conceptione in adventu | a Tenore Solo. Text: Heut muß jene Sonne,6,,E 56
,,57,Paſtorella von G. Werner in D. Org. Conc:to.,5,,E 57
,,58,Paſtorella v.G. dto in F. | a Tenore Solo. Text: O du verliebter | Gott etc.,5,,E 58
,,59,Aria p. Adv. v. G. Werner in B. | Textus: Chriſten was wollet Ihr etc.,6,,E 59
,,60,Paſtorella. a Organo Conc:to v. G Werner in G.,4,,E 60
,,61,dto in Sac. Nocte D. Ch. v. Gregor | Werner in G. | Text: O längſt erwünſchte Nacht etc.,12,,E 61
,,62,Paſtorella von G. Werner in C. | Text: Weil heut der Tag etc.,7,,E 62
[F] Reſponsorien,71,1,Rorate Coeli von Gregor Werner in F.,8,Sopran und Atl ½ Bogen zu dupliren.,F 1
,,2,dto dto in F.,8,dto ½ dto.,F 2
,,3,dto dto in F.,9,dto Violetta 2:do 3/4tl. dto.,F 3
,,4,2 Rorate Coeli dto in F.,8,dto ½ Bogen dto.,F 4
,,5,Responsorium in Coena Domini von | Gregor Werner in Dmol.,6,,F 5
,,6,"dto. in Parasceve von G. Werner, in B.",6,,F 6
,,7,dto in Sabbatho sancto von | Gregor Werner in F.,6,,G 97 (F 7)
,,13,Ecce Panis Angelorum von G. Werner in C.,8,,M 12
,73,23,4. Responsoria pro Feſto SS. Corporis | Chriſti apud 4. Stationes von Franz | Novotny.,36,,F 32 (F 23)
,,32,4. Responsorien pro Feſto SS. Corporis | Chriſti apud 4. Stationes von Gregor | Werner,8,,F 32a
[G] Vesper und Lytaneyen etc,75,1,Vesper von A. Thuma … in C,13,,G 1
[G] Vesper und Lytaneyen etc,75,22,dto dto [=Vesper von A. Carl] in G.,8,,G 22
,77,34,dto [= Lytanei] von Florian Wrastil in D.,8,Sopran und Alt 1 Bogen dto [= zu dupliren],G 34
,79,73,dto [= Vesper] von Gregor werner in Gmol.,8,dto. [=Sopran und Alt] 2. dto. [=Bogen zu dupliren],G 73
,,74,dto von dt in Amol.,8,dto. 1. dto.,G 74
,,75,dto von dto in C.,8,dto 2. dto.,G 75
,81,76,Vesper von Gregor Werner in C.,8,Soprano und Atl 2 Bögen zu dupliren,G 76
,,77,dto … dto in Dmol.,8,dto 1. dto.,G 77
,,78,dto … dto in C.,8,dto 2. dto.,G 78
,,79,dto … dto in C.,8,dto 1. dto.,G 79
,,80,dto … dto in G.,8,dto 1½ dto.,G 80
,,81,Magnificat von dto in B.,7,,G 81
,,82,Psalm von dto in C.,8,,G 82
,,83,2 Psalmen von dto in Dmol.,8,,G 83
,,84,Psalm von dto in C.,8,,G 84
,,85,dto von dto in C.,8,,G 85
,,86,dto von dto in G.,8,,G 86
,,87,dto von dto in F.,8,,G 87
,,88,dto von dto in Dmol.,8,,G 88
,,89,dto von dto in D.,8,,G 89
,,90,dto von dto in B.,8,,G 90
,,91,dto von dto in Dmol.,8,,G 91
,,92,dto von dto in Amol.,8,,G 92
,,93,dto von dto in F.,8,,G 93
,,94,Miserere mei Deus von dto in B.,7,,G 94
,,95,dto dto in Dmol.,6,,G 95
,,96,3. Lamentationes von dto in F.,7,,G 96
,,97,3 dto von dto in Gmol.,8,,G 13:2 (G 97)
,,98,Lytaney von dto in Gmol.,8,dto 1. Bogen dto.,G 98
,,99,dto von dto in Dmol.,8,dto 1. dto.,G 99
,,100,dto von dto in C°.,11,dto 1½ dto.,G 100
,83,101,Lytaney von Gregor Werner in Gmol.,8,Sopran und Alt 1 Bogen zu dupliren.,G 101
,,102,dto dto in B.,8,dto 1. dto.,G 102
,,103,dto dto in G. | Text: Indulci Jubilio etc.,8,dto 1. dto.,G 103
,,104,dto dto in Gmol.,8,dto 1. dto.,G 104
,,105,dto dto in Amol.,8,dto 1. dto.,G 105
[H] Alma Redemptoris,89,4,dto [=Alma] von Gregor Werner in G.,5,,H 4
,,5,dto von dto in Dmol.,8,dto [=Sopran und Alt] ½ dto.,H 5
,,6,dto von dto in C.,8,dto ½ dto.,H 6
,,7,dto von dto in Amol.,8,dto ½ dto.,H 7
,,8,dto von dto in C.,8,dto ½ dto.,H 8
,,9,dto von dto in Gmol.,10,,H 9
,,10,dto von dto in Dmol.,8,dto ½ dto.,H 10
,,11,dto von dto in G.,9,,H 11
,,12,dto von dto in Cmol.,5,,H 12
,,13,dto von dto in C.,4,,H 13
,,14,dto von dto in F.,5,,H 14
,,15,dto von dto in C.,8,,H 15
[I] Ave Regina,93,3,dto [=Ave Regina] von Gregor Werner in Dmol.,8,Sopran und Alt ½ Bogen zu dupliren.,I 3
,,4,Ave Regina von dto in Emol.,5,,I 4
,,5,dto dto in Dmol.,8,dto ½ dto.,I 5
