number,title,id,check_link,date,folder,onb,classification,number_moder,notes
55:1,Lytaniae Lauretanae,G.17,true,2025-04-30,51–55,AC14308551,full score,XIX,manual subdivision
55:2,Deus tuorum militum,F.35,true,2025-04-30,51–55,AC14308551,full score,[XIX],
56,Te Deum laudamus ,J.2,true,2025-03-05,56–60,AC14308621,full score,XX,
57,Missa Pauci sunt dies mei,B.52,true,2025-03-05,56–60,AC14308473,full score,XXI,
58,Requiem,C.2,true,2025-03-05,56–60,AC14308476,full score,XXII,
59,Missa a 4 Voci,B.2,true,2025-03-05,56–60,AC14308461,full score,XXIII,
60,Litaniae lauretanae,G.3,true,2025-03-05,56–60,AC14308547,full score,XXIV,
61,Regina coeli,I.3.6,true,2025-03-05,61–65,AC14308576,full score,XXV,
62,Alma Redemptoris,I.1.22,true,2025-03-05,61–65,AC14308480,full score,XXVI,
63,Missa Quasi vero,B.21,true,2025-03-05,61–65,AC14308475,full score,XXVII,
64,Concerto a 3,Q.4,true,2025-03-05,61–65,AC14308642,full score,XXVIII,
65,Missa in honorem Sti. Floriani,B.20,true,2025-03-05,61–65,AC14308472,full score,XXIX,
66,Concerto a 4,Q.3,true,2025-04-30,66,AC14308638,full score,–,
67,Motteto de Viduis,B.18,true,2025-10-21,67,AC14308569,notebook (upright),65,contains parts of Missa in minimis festis instead of the motet (in notebook 64?)
68:1,Missa Festivalis brevis,B.22,true,2025-12-03,68,AC14308469,notebook (upright),68,manual subdivision; notebook 67?
68:2,Hymnus de SS.Nomine Jesu,F.16,true,2025-12-03,68,AC14308535,notebook (upright),68,manual subdivision
69,Offertorium De Resurrectione Domini,D.2.6,true,2026-02-12,69,AC14308570,notebook (upright),73,notebooks 69–72?
70/1,Lytaniae Lauretanae,G.21,true,2026-03-06,70,AC14308546,notebook (upright),74,
70/2,Litaniae lauretanae,G.2,true,2026-03-06,70,AC14308548,notebook (upright),75,
71,Mater Dolorum,A.4,true,2025-10-21,71,AC14308478,notebook (upright),76–79,also contains correspondence with A-Wgm
72/1,Motteto in Dedicatione Ecclesiae,D.1.14,true,2025-12-03,72,AC14308560,notebook (upright),80,
72/2,Lytaniae Lauretanae,G.18,true,2025-12-03,72,AC14308545,notebook (upright),80,
73/1,Sub tuum praesidium,I.5.19,true,2026-02-12,73,AC14308608,notebook (oblong),1,
73/2,Sub tuum praesidium,I.5.5,true,2026-02-12,73,AC14308609,notebook (oblong),1,
74/1,Salve Regina,I.4.9,true,2026-04-27,74,AC14308589,notebook (oblong),2,
74/2,Salve Regina,I.4.11,true,2026-04-27,74,AC14308588,notebook (oblong),3,
75/1,Hymnus Veni Creator Spiritus,F.43,true,2025-03-05,75,AC14308540,notebook (oblong),4,
75/2,Hymnus Te lucis ante terminum,F.36,true,2025-03-05,75,AC14308537,notebook (oblong),4,
75/3,Ave Maria Clare,E.1,true,2025-03-05,75,AC14308496,notebook (oblong),4,
75/4,Hymnus de B.V.Maria,F.8,true,2025-03-05,75,AC14308519,notebook (oblong),4,
76/1,Ecce quomodo,D.3.1,true,2025-10-21,76,AC14308514,notebook (oblong),5,
76/2,Libera me Domine,D.3.5,true,2025-10-21,76,AC14308543,notebook (oblong),5,
77,Pastorella pour Le Cembalo,N.15,true,2025-12-03,77,AC14308635,notebook (oblong),6,
78,Vesperae brevissimae de Communi Apo.,H.1.4,true,2026-02-12,78,AC14308627,notebook (oblong),7,
79/1,Dixit Dominus et Magnificat,H.1.9,true,2026-05-04,79,AC14308511,notebook (oblong),8,
79/2,Ave Regina in cantu chorali,I.2.17,true,2026-05-04,79,AC14308509,notebook (oblong),8,
80/1,Mottetto in Festo Pentecostes,D.1.7,true,2026-08-20,80,AC14308563,notebook (oblong),9,
80/2,Hymnus de Beata,F.31,true,2026-08-20,80,AC14308522,notebook (oblong),9,
81,Vesperae de Beata,H.1.6,true,2025-12-03,81,AC14308626,notebook (oblong),10,Dixit Dominus and Laudate pueri; also notebooks 11–13?
82/1,Te Deum,J.5,true,2026-02-12,82/1,AC14308622,notebook (oblong),14,
82/2,Alma Redemptoris,I.1.8,true,2026-04-27,82/2,AC14308493,notebook (oblong),15,
83,Missa Beate Francisci de Hieronymo,B.8,true,2026-08-20,83,AC14308463,notebook (oblong),16–18,
84,Missa festiva IN HONOREM Matris meae,B.33,true,2026-03-06,84,AC14308467,notebook (oblong),19,also notebooks 20–23?
85/1,In Coena Dom. ad Matut. Lamentationes 3,K.1,true,2025-03-05,85/1,AC14308542,notebook (oblong),24,
